sudo /home/adhak001/dev/openNetVM_sameer/examples/netml_ml_nf/build/app/bridge -l 12 -n 3 --proc-type=secondary -- -r 2 -n 3 -m 6 --
EAL: Probing VFIO support...
EAL: VFIO support initialized
EAL: PCI device 0000:19:00.0 on NUMA socket 0
EAL:   probe driver: 8086:1572 net_i40e
EAL: PCI device 0000:19:00.1 on NUMA socket 0
EAL:   probe driver: 8086:1572 net_i40e
EAL: PCI device 0000:19:00.2 on NUMA socket 0
EAL:   probe driver: 8086:1572 net_i40e
EAL: PCI device 0000:19:00.3 on NUMA socket 0
EAL:   probe driver: 8086:1572 net_i40e
EAL: PCI device 0000:af:00.0 on NUMA socket 1
EAL:   probe driver: 19ee:4000 net_nfp_pf
original instance id 3 
The instance ID of the nf is 3 and associated id 11
NF_3_BATCH_AGG_POOL_NAME
 address 0x17ff35080mempool get retval 0 
Resolved CPU Dev Buffer 
cur_index:1, action:4, destination:0

APP: Waiting for manager to assign an ID...
WAIT_TIME(INIT-->START): 61191 ns
APP: Using Instance ID 3
APP: Using Service ID 2

 NF cgroup name and path: nf_3, /sys/fs/cgroup/cpu/nf_3/
 CMD_TO_CREATE_CGROUP_for_NF: 3, mkdir /sys/fs/cgroup/cpu/nf_3
 CMD_TO_ADD_NF_TO_CGROUP: echo 28401 > /sys/fs/cgroup/cpu/nf_3/tasks
 CMD_TO_SET_CPU_SHARE: echo 1024 > /sys/fs/cgroup/cpu/nf_3/cpu.sharesNF on core=12 added to cgroup: nf_3, ret=0Timer subsystem init
WAIT_TIME(INIT-->START-->Init_end): 164560029 ns
APP: Finished Process Init.
Number of sms 40
huge_pages address 140000000
 pointer 0x140000000 
Can use host pointer for registered mem 1

Client process 3 handling packets
[Press Ctrl-C to quit ...]
APP: Waiting for manager to put to RUN state...
GPU model is 6
NF using GPU
Linking the cuda memhandles from (nil) 
registered cuda memory mem-addr 0x140000000 size 1073741824 cuda error 0 
Could not register memory mem-addr 0x980000000 size 1073741824 cuda error 1 
Could not register memory mem-addr 0x11c0000000 size 1073741824 cuda error 1 
Could not register memory mem-addr 0x1a00000000 size 1073741824 cuda error 1 
Total time taken to register the mempages to cuda is 29222.250000 micro-seconds 
Buffer size 124346720
Resolved GPU Dev Buffer 
WAIT_TIME(START-->RUN): 3372995362 ns
WAIT_TIME(INIT-->START-->RUN-->RUNNING): 3548232290 ns
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
